Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
11/05/20,09:42,23.478,14.89,26.65
11/05/20,09:45,15.783,13.79,21.86
11/05/20,09:50,36.589,16.15,23.61
11/05/20,09:55,20.815,5.38,3.57
11/05/20,09:57,22.521,13.78,22.30
11/05/20,10:00,15.87,12.20,18.25
11/05/20,10:05,15.977,18.08,15.77
11/05/20,10:10,14.883,14.08,24.03
11/05/20,10:15,15.852,16.47,21.52
11/05/20,10:20,14.95,16.08,26.21
11/05/20,10:25,18.273,16.06,21.59
11/05/20,10:30,29.553,11.52,19.97
11/05/20,10:35,15.547,10.15,19.51
11/05/20,10:40,15.898,18.27,19.71
11/05/20,10:45,38.772,9.85,22.15
11/05/20,10:50,17.174,15.99,19.30
11/05/20,10:55,14.255,14.22,13.58
11/05/20,11:00,15.979,15.41,9.88
11/05/20,11:05,19.12,9.29,17.02
11/05/20,11:10,44.083,15.02,21.13
11/05/20,11:15,21.652,17.57,13.24
11/05/20,11:20,16.52,9.24,17.21
11/05/20,11:25,15.744,12.82,19.08
11/05/20,11:30,16.6,10.74,15.84
11/05/20,11:35,15.913,16.15,22.71
11/05/20,11:40,49.939,12.01,23.04
11/05/20,11:45,14.603,10.88,7.83
11/05/20,11:50,14.641,15.74,24.52
11/05/20,11:55,15.744,17.49,19.70
11/05/20,12:00,18.068,21.03,26.08
11/05/20,12:05,16.973,18.81,24.76
11/05/20,12:10,14.802,18.31,30.79
11/05/20,12:15,15.996,21.08,30.92
11/05/20,12:20,17.885,15.27,22.98
11/05/20,12:25,16.353,11.93,21.94
11/05/20,12:30,30.356,17.49,29.02
11/05/20,12:35,21.974,15.29,24.96
11/05/20,12:40,17.034,19.62,19.99
11/05/20,12:45,16.918,13.83,15.82
11/05/20,12:50,25.508,17.77,18.84
11/05/20,12:55,16.456,28.65,34.72
11/05/20,13:00,16.543,26.98,32.14
11/05/20,13:05,17.484,4.81,23.40
11/05/20,13:10,18.453,18.29,27.79
11/05/20,13:15,15.913,15.94,29.08
11/05/20,13:20,16.462,27.38,29.45
11/05/20,13:25,15.023,28.08,32.30
11/05/20,13:30,20.111,18.01,30.79
11/05/20,13:35,16.945,30.87,36.46
11/05/20,13:40,18.553,30.57,28.64
11/05/20,13:45,30.436,26.42,32.35
11/05/20,13:50,17.555,27.48,37.80
11/05/20,13:55,16.098,27.13,8.06
11/05/20,14:00,15.305,21.57,28.20
11/05/20,14:05,18.047,27.60,28.96
11/05/20,14:10,17.521,24.37,17.19
11/05/20,14:15,20.172,18.32,24.83
11/05/20,14:20,15.613,27.73,4.58
11/05/20,14:25,16.839,29.56,36.25
11/05/20,14:30,16.493,30.06,35.49
11/05/20,14:35,16.879,27.05,3.13
11/05/20,14:40,14.727,30.29,37.03
11/05/20,14:45,16.892,28.20,39.26
11/05/20,14:50,15.794,28.78,14.26
11/05/20,14:55,16.188,24.74,37.57
11/05/20,15:00,15.922,26.34,34.76
11/05/20,15:05,15.706,23.77,25.41
11/05/20,15:10,15.26,27.71,38.56
11/05/20,15:15,17.071,17.08,22.09
11/05/20,15:20,15.519,19.44,25.52
11/05/20,15:25,16.344,20.47,22.59
11/05/20,15:30,15.867,19.30,19.95
11/05/20,15:35,29.995,14.87,4.61
11/05/20,15:40,16.933,20.07,24.64
11/05/20,15:45,15.332,18.18,4.15
11/05/20,15:50,18.091,19.92,22.98
11/05/20,15:55,20.077,19.18,19.98
11/05/20,16:00,15.315,20.75,25.86
